longitude;latitude;housing_median_age;total_rooms;total_bedrooms;population;households;median_income;<1H OCEAN;INLAND;NEAR BAY;NEAR OCEAN
-1.0917501;0.9305808;-1.8176877;0.19520307;-0.041953716;-0.17418489;-0.07764188;1.7242891;0;1;0;0
-1.1615183;1.0975882;1.8392029;0.17621215;0.3666232;0.35937312;0.29125875;-1.0633425;0;1;0;0
0.15910208;0.039877407;0.6202393;-0.46484718;-0.22115411;0.20705374;-0.21202712;-1.373824;0;1;0;0
0.88668835;-0.8276309;-0.92378116;2.7608302;1.9483653;2.1123664;2.156842;1.5407066;1;0;0;0
0.6026307;-0.68845874;0.6202393;-0.17071953;0.16591874;0.45006037;0.2675437;-0.5048076;1;0;0;0
0.8019703;-0.9064962;-0.76125264;0.79967016;0.74891734;0.72212213;0.8182597;1.2134371;1;0;0;0
0.6574492;-0.82299256;0.6202393;-1.0169735;-1.1099881;-1.0167838;-1.1079286;0.14730579;1;0;0;0
0.6275496;-0.78124076;1.9204671;-0.35414404;-0.26177287;-0.31769964;-0.40701747;-1.0655128;1;0;0;0
1.3053019;-1.3193744;-0.8425169;0.20215097;0.13485734;-0.2270124;0.2570037;0.08500522;1;0;0;0
0.6275496;-0.89721787;0.37644663;-0.15589735;-0.4051332;-0.2270124;-0.28844225;1.1388168;0;0;0;1
-0.94224447;1.3295424;0.7015036;0.06643537;0.12529999;-0.2270124;0.15423852;-1.1927311;0;1;0;0
-1.2462364;1.0465579;-0.19240303;0.58845407;0.48609012;0.18152043;0.4915191;0.48638427;0;0;1;0
1.2355336;-1.4353516;-0.92378116;-0.9993722;-1.081316;-0.93842304;-1.0815786;0.9438083;0;0;0;1
0.79698575;-0.89257777;-0.8425169;0.0983957;0.008222392;0.014233281;-0.011766769;-0.04483029;1;0;0;0
-0.46383175;0.7914086;-0.8425169;2.7812107;2.729679;3.4163258;3.0211234;-0.8094166;0;1;0;0
-1.8093673;1.6218052;-1.1675738;-0.32125732;-0.12319123;-0.20059864;-0.08027689;-1.19771;1;0;0;0
-0.9522135;1.3388207;1.9204671;-0.2615054;-0.4242479;-0.5386948;-0.3226973;0.46193638;0;1;0;0
-1.410692;0.90274745;0.5389751;-0.23973532;0.032115776;-0.30449277;0.12525347;-0.32326785;0;0;0;1
1.2255645;-1.3518479;0.051389676;-0.21981801;0.2925537;0.3426444;0.27808374;-1.2636491;0;0;0;1
0.12920247;0.3043051;1.2703532;-0.26382136;-0.5437148;-0.556304;-0.42546248;0.23016033;0;1;0;0
0.6125998;-0.7023754;-1.0050454;-0.47040552;-0.37885046;-0.7024601;-0.40438247;0.26814085;1;0;0;0
-0.9970629;0.6244013;1.2703532;-0.53432614;-0.34062105;-0.3141778;-0.3701274;-1.0256175;0;1;0;0
0.72721744;-0.85082597;0.7015036;-0.6265016;-0.79698473;-0.2270124;-0.81280816;0.47897968;1;0;0;0
-1.2611862;0.92130417;0.21391813;-0.37267175;-0.4983174;-0.55190164;-0.47025758;0.49372494;0;0;1;0
-0.8326075;1.4455194;-1.4113666;-0.34765932;-0.43858394;-0.3291456;-0.33850735;-0.089640714;0;1;0;0
-1.0917501;0.51306427;0.051389676;-0.46021527;-0.0777938;0.5354649;0.0014082541;-0.8495035;1;0;0;0
-0.71300524;0.9259425;1.189089;-0.26057902;-0.48876005;-0.48234543;-0.40965247;0.20118041;0;1;0;0
0.70728314;-0.7162939;1.9204671;-0.50190264;-0.45769864;-0.6144142;-0.5308627;-0.17070813;1;0;0;0
0.7920012;-0.9064962;-0.3549315;0.3837227;0.029726438;0.1568676;0.03829832;1.285121;1;0;0;0
1.145831;-1.3054578;-0.19240303;-0.56906563;-0.24026883;-0.2270124;-0.6046428;0.48242676;0;0;0;1
-1.350889;1.2182053;-0.43619573;-0.5574858;-0.35256773;-0.2736767;-0.24101217;-0.91448504;0;0;1;0
-0.23459256;0.49914756;-1.1675738;0.26885077;0.46458608;0.77054733;0.5890143;-1.3101193;0;1;0;0
-0.7628392;1.6171669;-1.4926308;-0.8900585;-0.9379557;-0.9410644;-0.9419234;0.23239446;0;1;0;0
0.87173855;-0.9296913;-1.0863096;-0.06557468;-0.21159676;-0.3291456;-0.2620922;1.8048456;1;0;0;0
-0.88742596;1.3712941;-0.029874563;0.7288016;0.62228245;0.5363453;0.8762298;-0.15277116;0;1;0;0
-0.8625109;1.389851;0.29518238;0.1451782;-0.10407652;-0.11519415;-0.11453196;-0.22368911;0;1;0;0
-1.1465685;0.5965679;-1.7364235;0.5101744;0.3427298;-0.042116076;0.29125875;0.79961044;0;0;0;1
0.72223294;-0.7441272;0.5389751;-0.40416887;-0.2331008;-0.101106815;-0.22520214;-0.7258598;1;0;0;0
-0.8625109;1.1254233;0.21391813;-1.0498602;-1.1529962;-1.1171561;-1.1658988;-1.021213;0;1;0;0
-0.9621788;1.3295424;0.86403203;0.26977718;0.13724668;-0.20676185;0.19639859;0.65305096;0;1;0;0
0.17405188;-0.64206856;0.37644663;-0.062332332;-0.37885046;-0.32650423;-0.35431737;0.6792225;0;0;0;1
0.6175805;-0.6467069;0.051389676;0.20029819;0.46936476;0.3109479;0.5389492;-0.34107712;1;0;0;0
-0.72795504;1.6681954;1.6766744;0.5268494;0.5338769;-0.0007345171;0.28598875;-0.7921181;0;1;0;0
0.6125998;-0.77660066;1.5954101;-0.6621675;-0.78981674;-0.81515884;-0.81017315;0.099431336;1;0;0;0
-1.166503;0.9352209;-0.67998844;-0.3694294;-0.6727391;-0.5210856;-0.6257228;1.6007731;1;0;0;0
0.9514721;-0.7394889;0.6202393;-0.24529363;-0.30478096;-0.4039846;-0.26999724;-0.510042;0;1;0;0
-1.2462364;0.8099654;-0.19240303;-0.6566092;-0.7420299;-0.53517294;-0.736393;1.3382297;0;0;1;0
0.44315976;-0.64206856;-1.898952;1.643608;1.7428823;1.5541556;2.0250916;0.6601365;1;0;0;0
-1.141584;1.9094278;-1.3301023;2.3397875;2.4907453;1.9415574;2.6258729;-0.36941874;0;1;0;0
-1.0917501;1.3388207;-0.43619573;2.8710701;3.1573708;4.3205566;3.5165043;-1.0240216;0;1;0;0
0.68236804;-0.7580457;1.9204671;-0.93498826;-0.90450495;-0.61001194;-0.8523332;-1.4411674;1;0;0;0
-0.87247616;1.3991294;-0.27366728;-0.625112;-0.78503805;-0.7359175;-0.739028;-0.051022083;0;1;0;0
